id,source,grade,semester,unit,difficulty,problem,answer,hint1,hint2,hint3,next_question
p_0104,generated,4,1,막대그래프,중간,"민수네 반 학생들이 좋아하는 과일을 조사한 막대그래프를 보면 사과 5명, 바나나 8명, 딸기 12명, 포도 3명으로 나타났습니다. 딸기를 좋아하는 학생이 바나나를 좋아하는 학생보다 몇 명 더 많은지 구하시오.",4,딸기와 바나나에 해당하는 막대의 높이를 비교하세요.,두 막대의 숫자 차이를 계산하면 됩니다.,12에서 8을 빼보세요.,"만약 포도 선호 학생이 3명 더 늘어난다면, 전체 학생 수는 어떻게 변할까요?"
p_0105,generated,4,1,막대그래프,중간,"학교 도서관 대출 도서 수를 나타낸 막대그래프에서 수학책 15권, 과학책 10권, 동화책 20권, 역사책 5권으로 기록되었습니다. 가장 많이 대출된 책과 가장 적게 대출된 책의 대출 수 차이는 몇 권인지 구하시오.",15,가장 긴 막대와 가장 짧은 막대를 찾아보세요.,두 막대의 숫자 차이를 비교하세요.,20에서 5를 빼보세요.,과학책 대출이 동화책 대출과 같아지려면 몇 권이 더 필요할까요?
p_0106,generated,4,1,막대그래프,중간,"5월 한 달 동안 각 요일별 우산 판매량을 막대그래프로 나타냈을 때, 월요일 7개, 화요일 12개, 수요일 5개, 목요일 10개, 금요일 8개로 기록되었습니다. 화요일에 판매된 우산 수보다 수요일에 판매된 우산 수가 몇 개 적은지 구하시오.",7,화요일과 수요일 막대의 높이를 비교하세요.,큰 수에서 작은 수를 빼면 됩니다.,12에서 5를 계산해보세요.,목요일과 금요일 판매량을 합치면 몇 개인가요?
p_0107,generated,4,1,막대그래프,중간,"4학년 1반 학생들의 등교 방법을 조사한 막대그래프에서 도보 18명, 버스 10명, 자전거 5명, 차량 7명으로 나타났습니다. 도보로 등교하는 학생 수가 자전거로 등교하는 학생 수보다 몇 명 더 많은지 구하시오.",13,도보와 자전거 막대의 높이를 비교하세요.,큰 수에서 작은 수를 빼면 됩니다.,18에서 5를 계산해보세요.,버스와 차량으로 등교하는 학생 수를 합치면 몇 명인가요?
p_0108,generated,4,1,막대그래프,중간,"과일 가게의 일일 판매량을 막대그래프로 나타냈을 때, 사과 25개, 배 18개, 감 12개, 복숭아 20개로 기록되었습니다. 사과 판매량이 감 판매량보다 몇 개 더 많은지 구하시오.",13,사과와 감 막대의 높이를 비교하세요.,큰 막대에서 작은 막대를 빼보세요.,25에서 12를 계산해보세요.,배와 복숭아 판매량의 합은 얼마인가요?
p_0109,generated,4,1,막대그래프,중간,"학교 운동회 때 각 반별 달리기 기록(단위: 초)을 막대그래프로 나타냈을 때, 1반 22초, 2반 25초, 3반 18초, 4반 20초로 기록되었습니다. 가장 빠른 반과 가장 느린 반의 기록 차이는 몇 초인지 구하시오.",7,가장 짧은 막대와 가장 긴 막대를 찾아보세요.,두 막대의 숫자 차이를 비교하세요.,25에서 18을 빼보세요.,1반과 4반 기록의 평균은 얼마인가요?
p_0110,generated,4,1,막대그래프,중간,"한 달 동안 각 계절별 옷 판매량을 막대그래프로 나타냈을 때, 봄옷 40벌, 여름옷 65벌, 가을옷 35벌, 겨울옷 50벌로 기록되었습니다. 여름옷 판매량이 가을옷 판매량보다 몇 벌 더 많은지 구하시오.",30,여름과 가을 막대의 높이를 비교하세요.,큰 수에서 작은 수를 빼면 됩니다.,65에서 35를 계산해보세요.,봄옷과 겨울옷 판매량의 합은 얼마인가요?
p_0111,generated,4,1,막대그래프,중간,"각 달의 강수량을 막대그래프로 나타냈을 때, 1월 50mm, 2월 30mm, 3월 80mm, 4월 60mm로 기록되었습니다. 3월 강수량이 2월 강수량보다 몇 mm 더 많은지 구하시오.",50,3월과 2월 막대의 높이를 비교하세요.,큰 수에서 작은 수를 빼면 됩니다.,80에서 30을 계산해보세요.,1월과 4월 강수량의 합은 얼마인가요?
p_0112,generated,4,1,막대그래프,어려움,"4학년 1반 학생들이 가장 좋아하는 과일을 조사한 막대그래프를 보면, 사과 8명, 바나나 12명, 딸기 5명, 포도 15명으로 나타났습니다. 포도를 좋아하는 학생 수가 딸기를 좋아하는 학생 수보다 몇 명 더 많은지 구하시오.",10,막대그래프에서 포도와 딸기의 막대를 찾아 각 수치를 비교하세요.,포도의 수치에서 딸기의 수치를 빼야 합니다.,15에서 5를 빼면 몇이 되나요?,"만약 포도 선택 학생이 3명 더 늘어난다면, 포도와 딸기의 차이는 몇 명이 될까요?"
p_0113,generated,4,1,막대그래프,어려움,"5월 한 달 동안 각 요일별 우산 판매량을 나타낸 막대그래프에서 월요일 12개, 화요일 8개, 수요일 15개, 목요일 10개, 금요일 14개로 기록되었습니다. 가장 판매가 적은 요일과 가장 판매가 많은 요일의 판매량 차이는 몇 개인지 구하시오.",7,막대그래프에서 가장 짧은 막대와 가장 긴 막대를 찾아보세요.,두 막대의 수치 차이를 계산해야 합니다.,15에서 8을 빼면 몇이 되나요?,수요일 판매량이 화요일 판매량의 2배가 되려면 몇 개가 더 팔려야 할까요?
p_0114,generated,4,1,막대그래프,어려움,"동물원 방문객 수를 계절별로 나타낸 막대그래프에서 봄 450명, 여름 820명, 가을 630명, 겨울 380명으로 나타났습니다. 여름 방문객 수가 겨울 방문객 수보다 몇 명 더 많은지 구하시오.",440,막대그래프에서 여름과 겨울의 막대를 찾아 수치를 비교하세요.,여름 수치에서 겨울 수치를 빼야 합니다.,820에서 380을 빼면 몇이 되나요?,가을 방문객 수가 봄 방문객 수의 2배가 되려면 몇 명이 더 방문해야 할까요?
p_0115,generated,4,1,막대그래프,어려움,"학급에서 학생들이 일주일 동안 읽은 책 권수를 조사한 막대그래프에서 민수 7권, 지현 5권, 동현 9권, 서연 6권, 현우 8권으로 기록되었습니다. 가장 많이 읽은 학생과 가장 적게 읽은 학생의 책 권수 차이는 몇 권인지 구하시오.",4,막대그래프에서 가장 높은 막대와 가장 낮은 막대를 찾아보세요.,두 막대의 수치 차이를 계산해야 합니다.,9에서 5를 빼면 몇이 되나요?,동현이가 2권을 더 읽으면 지현이와의 차이는 몇 권이 될까요?
p_0116,generated,4,1,막대그래프,어려움,"학교 매점에서 일주일간 판매된 과자 종류별 개수를 나타낸 막대그래프에서 과자A 42개, 과자B 35개, 과자C 50개, 과자D 28개로 기록되었습니다. 가장 적게 팔린 과자와 가장 많이 팔린 과자의 판매량 차이는 몇 개인지 구하시오.",22,막대그래프에서 가장 짧은 막대와 가장 긴 막대를 찾아보세요.,두 막대의 수치 차이를 계산해야 합니다.,50에서 28을 빼면 몇이 되나요?,과자D 판매량이 과자C의 절반 수준이 되려면 몇 개가 더 팔려야 할까요?
p_0117,generated,4,1,막대그래프,어려움,"4학년 2반 학생들의 등교 방법을 조사한 막대그래프에서 도보 18명, 자전거 10명, 버스 15명, 차량 7명으로 나타났습니다. 도보로 등교하는 학생 수가 차량으로 등교하는 학생 수보다 몇 명 더 많은지 구하시오.",11,막대그래프에서 도보와 차량의 막대를 찾아 수치를 비교하세요.,도보 수치에서 차량 수치를 빼야 합니다.,18에서 7을 빼면 몇이 되나요?,차량 등교 학생 수가 자전거 등교 학생 수와 같아지려면 몇 명이 더 필요할까요?
p_0118,generated,4,1,막대그래프,어려움,"한 달 동안 각 달의 생일인 학생 수를 나타낸 막대그래프에서 1월 3명, 2월 5명, 3월 4명, 4월 6명, 5월 7명으로 기록되었습니다. 5월 생일 학생 수가 1월 생일 학생 수보다 몇 명 더 많은지 구하시오.",4,막대그래프에서 5월과 1월의 막대를 찾아 수치를 비교하세요.,5월 수치에서 1월 수치를 빼야 합니다.,7에서 3을 빼면 몇이 되나요?,1월 생일 학생 수가 5월 생일 학생 수의 절반이 되려면 몇 명이 줄어야 할까요?
p_0119,generated,4,1,막대그래프,어려움,"학교 운동회 때 각 반에서 모은 재활용품 개수를 나타낸 막대그래프에서 1반 25개, 2반 30개, 3반 22개, 4반 28개로 기록되었습니다. 가장 많이 모은 반과 가장 적게 모은 반의 재활용품 개수 차이는 몇 개인지 구하시오.",8,막대그래프에서 가장 높은 막대와 가장 낮은 막대를 찾아보세요.,두 막대의 수치 차이를 계산해야 합니다.,30에서 22를 빼면 몇이 되나요?,"3반이 2반보다 5개 더 모은다면, 두 반의 차이는 몇 개가 될까요?"
p_0120,orca,4,1,규칙 찾기,쉬움,토끼 두 마리가 하루에 당근 4개를 먹습니다. 토끼 세 마리가 당근 54개를 먹으려면 며칠이 걸리나요?,9일,토끼 한 마리가 하루에 먹는 당근 양을 먼저 구해보세요.,"토끼 세 마리가 하루에 먹는 당근 양을 계산한 후, 총 당근 수를 이 값으로 나누면 됩니다.",(54 ÷ (2 × 3))로 계산해도 같은 결과가 나옵니다.,"토끼 네 마리가 하루에 당근 8개를 먹는다면, 토끼 다섯 마리가 60개의 당근을 먹는 데 며칠이 걸리나요?"
p_0121,orca,4,1,규칙 찾기,쉬움,호석의 학교에는 농구공보다 축구공이 23개 더 많고 배구공보다 축구공이 18개 더 많습니다. 배구공이 40개 있다면 농구공은 몇 개일까요?,35개,배구공과 축구공의 관계를 먼저 생각해 보세요.,축구공 개수를 구한 후 농구공과의 차이를 적용해 보세요.,'축구공 = 배구공 + 18'과 '축구공 = 농구공 + 23' 두 식을 연결해 보세요.,"학교 체육관에 배구공보다 야구공이 15개 적고, 야구공보다 농구공이 10개 더 많을 때 배구공이 25개라면 농구공은 몇 개인가요?"
p_0122,orca,4,1,규칙 찾기,쉬움,"100미터(m) 길이의 도로에 10미터(m) 간격으로 나무를 심고 싶다고 가정해 보겠습니다. 도로의 시작과 끝에 나무를 심는다고 가정할 때, 도로의 한 쪽에만 나무를 심는다면 몇 그루의 나무가 필요합니까?",11그루,시작점과 끝점에 나무가 있다는 점을 생각해 보세요.,10m 간격으로 나무를 심을 때 몇 개의 간격이 생기는지 계산해 보세요.,간격 수와 실제 나무 수의 관계를 생각해 보세요. 예를 들어 20m 도로에 10m 간격으로 심을 때는 몇 그루가 필요할까요?,200미터 도로에 25미터 간격으로 나무를 심을 때 필요한 나무 수는 몇 그루인가요? (시작과 끝 포함)
p_0123,orca,4,1,규칙 찾기,쉬움,루이스는 사만다보다 보물찾기에서 4개의 물건을 더 찾았습니다. 사만다는 4개의 물건만 찾은 타냐보다 4배 많은 물건을 찾았습니다. 루이스는 몇 개의 물건을 찾았을까요?,20개,타냐가 찾은 물건 수부터 확인해 보세요.,사만다는 타냐보다 몇 배 많은 물건을 찾았을까요?,루이스는 사만다보다 몇 개 더 많은 물건을 찾았을까요?,"민수는 지민보다 사탕을 5개 더 가지고 있고, 지민은 유라보다 3배 많은 사탕을 가지고 있습니다. 유라가 2개의 사탕을 가지고 있다면 민수는 몇 개의 사탕을 가지고 있을까요?"
p_0124,orca,4,1,규칙 찾기,쉬움,"티노는 리보다 젤리빈이 더 많습니다. 아놀드는 리보다 젤리빈이 절반입니다. 아놀드가 젤리빈 5개를 가지고 있고 티노가 젤리빈 34개를 가지고 있다면, 티노가 리보다 젤리빈이 몇 개 더 많을까요?",24,아놀드의 젤리빈 수와 리의 관계를 먼저 생각해 보세요.,"리의 젤리빈 수를 구한 후, 티노와 비교해 보세요.",계산 과정에서 뺄셈과 곱셈을 활용해 보세요.,"민수는 지민보다 사탕을 3개 더 가지고 있습니다. 지민이는 유진이의 사탕 수의 1/3을 가지고 있고, 유진이가 12개를 가지고 있다면 민수는 몇 개의 사탕을 가지고 있을까요?"
p_0125,orca,4,1,규칙 찾기,쉬움,캐리의 책상 서랍에는 노란색 형광펜이 7개 있습니다. 노란색 형광펜보다 분홍색 형광펜이 7개 더 있고 파란색 형광펜도 몇 개 있습니다. 캐리의 책상 서랍에는 총 40개의 형광펜이 있습니다. 파란색과 분홍색 형광펜의 개수 차이는 무엇인가요?,5,분홍색 형광펜의 개수를 먼저 구해보세요. 노란색보다 7개 더 많습니다.,"노란색과 분홍색 형광펜을 합한 개수를 구한 후, 총 개수에서 빼서 파란색 형광펜 수를 찾으세요.",파란색과 분홍색 형광펜의 개수를 비교해보세요. 어떤 색이 더 많고 차이는 몇 개인가요?,"서랍에 있는 빨간색 형광펜은 파란색보다 3개 적고, 초록색 형광펜은 분홍색보다 2개 더 많습니다. 모든 형광펜의 총 개수는 얼마인가요?"
p_0126,orca,4,1,규칙 찾기,쉬움,벤자민은 하루에 6개의 달걀을 수집합니다. 칼라는 벤자민이 수집하는 달걀의 3배 수를 수집합니다. 트리샤는 벤자민보다 일정 수 적은 달걀을 수집합니다. 세 사람은 총 26개의 달걀을 수집합니다. 트리샤가 벤자민에 비해 몇 개를 덜 수집했을까요?,4,벤자민과 칼라가 수집한 달걀 수를 먼저 구해보세요.,세 사람의 총 달걀 수에서 벤자민과 칼라의 합을 빼면 트리샤의 달걀 수를 알 수 있습니다.,트리샤의 달걀 수와 벤자민의 달걀 수를 비교해 차이를 구하세요.,세 사람이 2일 동안 수집한 달걀의 총 개수는 얼마일까요?
p_0127,orca,4,1,규칙 찾기,쉬움,체중이 일정한 잭은 체중이 40파운드인 사촌 안나와 시소 놀이를 하고 싶어 합니다. 두 사람의 체중이 같으려면 잭은 4파운드짜리 바위 5개를 들어야 합니다. 잭의 몸무게는 몇 파운드일까요?,20파운드,잭이 들어야 하는 바위의 총 무게를 먼저 계산해 보세요.,바위를 들지 않은 잭의 몸무게가 안나보다 얼마나 가벼운지 생각해 보세요.,안나의 몸무게에서 바위의 총 무게를 빼면 잭의 몸무게가 됩니다.,잭이 4파운드 바위 3개만 들었을 때 시소가 기울지 않으려면 잭의 몸무게는 몇 파운드여야 할까요?
p_0128,orca,4,1,규칙 찾기,중간,0보다 크고 100보다 작은 3의 배수는 순차적으로 기록됩니다. 왼쪽에서 22번째와 23번째 숫자의 곱은 무엇입니까?,4554,3의 배수는 3씩 증가하는 규칙성을 가집니다.,n번째 3의 배수는 3×n으로 계산할 수 있습니다.,22번째와 23번째 배수를 각각 구한 후 곱하세요.,0보다 크고 100보다 작은 4의 배수 중 15번째와 16번째 숫자의 합을 구하시오.
p_0129,orca,4,2,분수의 덧셈과 뺄셈,쉬움,엔진의 4분의 1이 결함이 있고 각 80개의 엔진이 5배치인 경우. 결함이 없는 엔진은 몇 개입니까?,300개,먼저 전체 엔진 수를 계산해 보세요.,결함 있는 엔진 비율을 이용해 결함 없는 비율을 구할 수 있습니다.,전체 엔진 수에 결함 없는 비율을 곱해 정답을 구하세요.,"만약 엔진의 5분의 2가 결함이 있다면, 같은 배치에서 결함 없는 엔진은 몇 개일까요?"
p_0130,orca,4,2,분수의 덧셈과 뺄셈,쉬움,"특정 주에 파티마의 레스토랑에서 25명에게 음식과 음료를 제공했고, 그 중 3/5이 커피를 사러 왔습니다. 레스토랑에서 커피를 사지 않은 사람은 몇 명일까요?",10명,먼저 25명 중 3/5에 해당하는 사람 수를 계산해보세요.,"커피를 구매한 사람 수를 구한 후, 총 인원에서 빼보세요.","25 × 3/5 = 15명이 커피를 구매했으므로, 25 - 15를 계산하면 됩니다.",40명의 학생 중 2/5가 수학 시험을 통과했습니다. 통과하지 못한 학생은 몇 명인가요?
p_0131,orca,4,2,분수의 덧셈과 뺄셈,쉬움,"이서는 미술 수업에서 1/2미터(m)의 리본 테이프를 사용했고, 원영은 2/3미터(m)의 리본 테이프를 사용했습니다. 두 친구 중 누가 더 많은 리본 테이프를 사용했을까요?",원영,두 분수를 같은 분모로 바꿔서 비교해보세요.,분모 2와 3의 최소공배수는 6입니다.,분자를 비교했을 때 더 큰 쪽이 더 많은 양을 나타냅니다.,1/3미터와 3/4미터 중 어느 것이 더 클까요? 공통 분모를 이용해 비교해보세요.
p_0132,orca,4,2,분수의 덧셈과 뺄셈,쉬움,"조엘의 정원은 64평방피트입니다. 그는 정원의 절반은 과일을, 절반은 채소를 재배하고 싶어합니다. 그는 과일 구역의 4분의 1을 딸기를 재배하고 싶어합니다. 딸기를 재배하는 데 정원의 몇 평방피트가 사용되나요?",8평방피트,정원의 과일 구역 면적을 먼저 구해보세요.,과일 구역에서 딸기가 차지하는 비율을 분수로 표현해보세요.,전체 면적에서 딸기가 차지하는 비율을 분수로 직접 계산해보세요.,"정원의 채소 구역에서 1/3을 당근을 재배한다면, 당근을 재배하는 데 사용되는 면적은 얼마인가요?"
p_0133,orca,4,2,분수의 덧셈과 뺄셈,쉬움,"공책이 28권 있습니다. 28권 중 1/4을 연주에게, 28권 중 3/7을 민지에게 주었습니다. 남은 공책의 개수를 구합니다.",9권,연주와 민지에게 각각 몇 권의 공책을 주었는지 계산해 보세요.,"연주는 전체의 1/4, 민지는 전체의 3/7을 받았습니다. 분수를 곱해서 정수로 구하세요.","나눠준 공책의 총합을 구한 후, 전체 개수에서 빼면 남은 공책의 개수를 알 수 있습니다.","공책 35권 중 2/5를 지훈에게, 1/7을 수진에게 주었을 때 남은 공책은 몇 권인가요?"
p_0134,orca,4,2,분수의 덧셈과 뺄셈,쉬움,"허먼은 12월, 1월, 2월에 새들에게 먹이를 주는 것을 좋아합니다. 그는 아침에 1/2컵, 오후에 1/2컵을 먹입니다. 3개월 동안 필요한 사료는 몇 컵일까요?",90컵,"각 달의 일수를 먼저 더해보세요. 12월, 1월, 2월은 각각 몇 일인가요?",하루에 주는 총 먹이량을 분수로 계산해보세요. 1/2컵+1/2컵은 얼마인가요?,총 일수와 하루 먹이량을 곱해 전체 양을 구해보세요.,영희는 1주일에 3/4kg의 사료를 고양이에게 줍니다. 4주 동안 필요한 사료는 몇 kg일까요?
p_0135,orca,4,2,분수의 덧셈과 뺄셈,쉬움,"크레용 상자에는 총 24개의 크레용이 들어 있습니다. 어떤 크레용은 빨간색이고, 6개의 크레용은 파란색이며, 녹색 크레용은 파란색 크레용의 2/3이고, 나머지 크레용은 분홍색입니다. 분홍색 크레용은 6개입니다. 빨간색 크레용은 몇 개인가요?",8,파란색 크레용의 2/3이 녹색 크레용입니다. 먼저 녹색 크레용의 개수를 구해보세요.,"파란색, 녹색, 분홍색 크레용의 총합을 구한 후 총 크레용 수에서 빼보세요.",24 - (6 + 4 + 6)을 계산해보세요.,"사과 30개 중 1/5은 녹색, 1/3은 빨간색입니다. 나머지 사과는 노란색일 때 노란색 사과는 몇 개인가요?"
p_0136,orca,4,2,분수의 덧셈과 뺄셈,쉬움,"래리는 하루에 두 번, 한 시간씩 개와 산책하고 놀아주며 시간을 보냅니다. 또한 매일 개에게 먹이를 주는 데 5분의 1의 시간을 보냅니다. 래리는 하루에 개에게 몇 분을 할애하나요?",72분,'한 시간'을 분 단위로 변환해 보세요.,'5분의 1의 시간'이 60분의 몇 분인지 계산해 보세요.,두 활동을 합산할 때 단위(분)가 같은지 확인하세요.,"민수는 매일 2시간 동안 숙제를 하고, 그 중 1/4 시간을 수학 문제 풀이에 사용합니다. 민수가 하루에 수학 문제 풀이에 사용하는 시간은 몇 분인가요?"
p_0137,orca,4,2,분수의 덧셈과 뺄셈,쉬움,필과 안드레는 피자를 주문하기로 결정합니다. 그들은 8조각이 들어 있는 작은 치즈 피자와 14조각이 들어 있는 라지 페퍼로니 피자를 주문합니다. 두 사람 모두 이미 9조각을 먹었습니다. 1인당 몇 조각이 남았나요?,2조각,먼저 주문한 피자의 총 조각 수를 구해보세요.,"두 사람이 먹은 조각 수를 모두 더한 후, 총 조각 수에서 빼보세요.",남은 조각을 두 사람이 똑같이 나누려면 어떻게 해야 할까요?,"만약 필이 5조각, 안드레가 7조각을 먹었다면 1인당 몇 조각이 남았을까요?"
p_0138,orca,4,2,분수의 덧셈과 뺄셈,쉬움,제이슨의 스토브에 불이 났습니다. 교체품을 구입하는 데 1200달러가 들고 그 뒤에 있는 벽의 손상을 수리하는 데는 1/6만큼의 비용이 듭니다. 총 비용은 얼마인가요?,1400달러,벽 수리 비용이 스토브 교체 비용의 몇 분의 몇인지 확인하세요,분수 곱셈을 통해 벽 수리 비용을 구한 후 전체 비용을 더하세요,1200을 6으로 나눈 값에 1200을 더하면 총 비용이 됩니다,한 가게에서 사과 120개를 판매했습니다. 이 중 3/5는 신선도가 높은 사과이고 나머지는 할인 판매했습니다. 할인 판매한 사과는 몇 개인가요?
p_0139,orca,4,2,분수의 덧셈과 뺄셈,중간,딘은 각각 12조각으로 자른 라지 피자 2판을 주문했습니다. 친구인 프랭크와 새미가 피자를 먹으며 영화를 보러 왔습니다. 딘은 배가 고파 하와이안 피자 반쪽을 먹었습니다. 프랭크는 하와이안 피자 3조각만 먹었고 새미는 치즈 피자 3분의 1만 먹었습니다. 총 몇 조각이 남았나요?,11조각,각 피자 종류별 총 조각 수를 먼저 구해보세요.,각 사람이 먹은 피자 조각 수를 분수로 계산해보세요.,남은 조각은 총 조각에서 먹은 조각을 빼면 됩니다.,"만약 딘이 추가로 치즈 피자 1조각을 더 먹었다면, 남은 총 조각 수는 얼마일까요?"
p_0140,orca,4,2,분수의 덧셈과 뺄셈,중간,톰은 미니어처 경주용 자동차 10팩을 샀습니다. 각 패키지에는 5대의 자동차가 들어 있습니다. 톰은 조카들에게 자동차의 1/5을 주었습니다. 톰은 미니어처 경주용 자동차 30대를 남겼습니다. 톰은 몇 명의 조카에게 자동차를 주었나요?,5명,먼저 톰이 구입한 총 자동차 수를 구해보세요.,"톰이 조카들에게 준 자동차 수를 계산한 후, 각 조카가 받은 자동차 수를 구해보세요.",총 기부한 자동차 수를 각 조카가 받은 자동차 수로 나누면 조카 수를 알 수 있습니다.,"지민이는 스티커 40장을 가지고 있습니다. 지민이는 친구에게 스티커의 1/4을 주고 15장을 남겼습니다. 지민이는 몇 명의 친구에게 스티커를 주었나요? (단, 각 친구는 같은 수의 스티커를 받았습니다.)"
p_0141,generated,4,2,삼각형,쉬움,"민준이는 이등변삼각형을 만들려고 합니다. 두 변의 길이가 각각 5cm와 5cm일 때, 세 번째 변의 길이는 몇 cm 이상이어야 할까요?",1,이등변삼각형은 두 변의 길이가 같아요,세 변의 길이를 모두 더하면 가장 긴 변보다 커야 해요,"5 + 5 > 세 번째 변, 5 + 세 번째 변 > 5, 5 + 세 번째 변 > 5 중 첫 번째 조건만 고려하면 돼요",정삼각형에서 세 각의 합은 몇 도일까요?
p_0142,generated,4,2,삼각형,쉬움,"예각삼각형, 직각삼각형, 둔각삼각형을 각각 한 가지씩 그려보세요. 각 삼각형의 가장 큰 각은 몇 도일까요?","60,90,120",예각은 90°보다 작은 각이에요,직각은 정확히 90°예요,둔각은 90°보다 큰 각이에요,"이등변삼각형에서 두 각의 크기가 각각 40°와 40°일 때, 나머지 각의 크기는 몇 도일까요?"
p_0143,generated,4,2,삼각형,어려움,"민준이는 세 변의 길이가 각각 5cm, 5cm, 8cm인 삼각형을 만들었습니다. 이 삼각형은 어떤 삼각형일까요? (이등변삼각형, 정삼각형, 예각삼각형, 직각삼각형, 둔각삼각형 중 모두 고르세요.)","이등변삼각형, 둔각삼각형",변의 길이가 같은지 먼저 확인하세요.,가장 긴 변의 제곱과 나머지 두 변의 제곱의 합을 비교해보세요.,둔각삼각형 조건: 가장 긴 변의 제곱 > 다른 두 변의 제곱의 합,"세 변의 길이가 6cm, 6cm, 6cm인 삼각형은 어떤 삼각형일까요?"
p_0144,generated,4,2,삼각형,어려움,한 변의 길이가 7cm인 정삼각형에서 한 각의 크기는 몇 도일까요?,60,정삼각형의 모든 각은 같습니다.,삼각형 내각의 합은 180도입니다.,180을 3으로 나누면 한 각의 크기가 됩니다.,한 변의 길이가 4cm인 정삼각형에서 한 각의 크기는 몇 도일까요?
p_0145,generated,4,2,삼각형,어려움,직각삼각형이면서 이등변삼각형인 삼각형에서 두 밑각의 크기는 각각 몇 도일까요?,45,직각삼각형의 한 각은 90도입니다.,이등변삼각형이므로 나머지 두 각은 같습니다.,90을 2로 나누면 한 각의 크기가 됩니다.,"직각삼각형이면서 이등변삼각형인 삼각형에서 직각을 제외한 한 변의 길이는 5cm일 때, 빗변의 길이는 얼마일까요?"
p_0146,generated,4,2,삼각형,어려움,"한 각이 100도이고, 나머지 두 각이 같은 삼각형에서 이 삼각형은 어떤 삼각형일까요? (이등변삼각형, 정삼각형, 예각삼각형, 직각삼각형, 둔각삼각형 중 모두 고르세요.)","이등변삼각형, 둔각삼각형",삼각형의 내각의 합은 180도입니다.,나머지 두 각의 크기를 계산해보세요.,90도보다 큰 각이 있는지 확인하세요.,"한 각이 80도이고, 나머지 두 각이 같은 삼각형에서 이 삼각형은 어떤 삼각형일까요?"
p_0147,generated,4,2,삼각형,어려움,"세 각이 각각 30도, 60도, 90도인 삼각형은 어떤 삼각형일까요? (이등변삼각형, 정삼각형, 예각삼각형, 직각삼각형, 둔각삼각형 중 모두 고르세요.)",직각삼각형,90도 각이 있는지 확인하세요.,변의 길이가 모두 같은지 확인하세요.,모든 각이 90도보다 작은지 확인하세요.,"세 각이 각각 45도, 45도, 90도인 삼각형은 어떤 삼각형일까요?"
p_0148,generated,4,2,삼각형,어려움,"한 각이 85도이고, 다른 한 각이 50도인 삼각형은 어떤 삼각형일까요? (이등변삼각형, 정삼각형, 예각삼각형, 직각삼각형, 둔각삼각형 중 모두 고르세요.)",예각삼각형,삼각형의 내각의 합은 180도입니다.,세 번째 각의 크기를 계산해보세요.,모든 각이 90도보다 작은지 확인하세요.,"한 각이 100도이고, 다른 한 각이 40도인 삼각형은 어떤 삼각형일까요?"
p_0149,generated,4,2,삼각형,어려움,"세 변의 길이가 7cm, 7cm, 10cm인 삼각형은 어떤 삼각형일까요? (이등변삼각형, 정삼각형, 예각삼각형, 직각삼각형, 둔각삼각형 중 모두 고르세요.)","이등변삼각형, 둔각삼각형",변의 길이가 같은지 확인하세요.,가장 긴 변의 제곱과 나머지 두 변의 제곱의 합을 비교해보세요.,둔각삼각형 조건: 가장 긴 변의 제곱 > 다른 두 변의 제곱의 합,"세 변의 길이가 8cm, 8cm, 15cm인 삼각형은 어떤 삼각형일까요?"
p_0150,generated,4,2,삼각형,어려움,"정삼각형을 2개의 합동인 직각삼각형으로 나누었을 때, 각 직각삼각형의 빗변의 길이는 원래 정삼각형의 한 변의 길이와 같습니다. 이때 직각삼각형의 한 변의 길이는 얼마일까요? (정삼각형의 한 변의 길이는 10cm입니다.)",5,정삼각형을 어떻게 나누었는지 상상해보세요.,높이를 그으면 두 개의 합동인 직각삼각형이 됩니다.,문제 조건에 따라 밑변은 정삼각형 한 변의 절반입니다.,"정삼각형의 한 변의 길이가 12cm일 때, 같은 방법으로 나눈 직각삼각형의 한 변의 길이는 얼마일까요?"
p_0151,generated,4,2,삼각형,어려움,"민준이는 세 변의 길이가 각각 5cm, 5cm, 8cm인 삼각형과 세 각의 크기가 각각 40°, 40°, 100°인 삼각형을 가지고 있습니다. 두 삼각형은 어떤 공통점이 있을까요? (공통점을 모두 찾아 설명하시오)",두 삼각형 모두 이등변삼각형이다,이등변삼각형의 정의를 떠올려 보세요,변의 길이와 각의 크기 중 어떤 것이 이등변삼각형 판별에 사용될 수 있나요?,두 삼각형에서 각각 같은 값이 몇 개 있는지 비교해 보세요,"세 변의 길이가 6cm, 6cm, 6cm인 삼각형은 어떤 삼각형일까요?"
p_0152,orca,4,2,소수의 덧셈과 뺄셈,쉬움,"현우는 키가 1.32미터(m), 진희는 키가 1.3미터(m)입니다. 누가 더 키가 크나요?",현우,소수점 아래 자릿수를 하나씩 비교해보세요,1.3은 1.30과 같습니다. 둘째 자리 숫자를 비교해보세요,소수점 아래 숫자가 더 큰 쪽이 전체 수가 더 큽니다,다음 중 가장 큰 소수는? ① 0.45 ② 0.405 ③ 0.399
